88878007	2321914
768465000	2321914
4421005	2134838
362837007	2131524
83578000	1647984
257556004	1647984
387713003	1647984
439401001	1226040
276239002	1191870
277132007	1191870
10828004	1071929
363346000	1028003
129265001	999315
386053000	999315
372087000	991985
86049000	991985
87612001	982396
289928003	901094
108369006	883789
24484000	878391
24851008	841866
85756007	819649
189822004	802859
40733004	802859
191415002	802859
260385009	775897
116647005	768826
67922002	764985
12738006	749502
258335003	748286
397709008	733353
268923008	733353
365705006	725438
71677004	718341
417746004	667997
50863008	662111
419185008	662111
371153006	650383
181268008	647356
10200004	647350
48532005	638876
300848003	586771
4147007	586771
262188008	568046
73595000	568046
11713004	562552
346712003	562552
418560003	556301
272392009	552834
90668006	539394
363679005	515440
115956009	502867
34957004	495604
129272000	492453
122545008	492453
360271000	487257
169443000	487257
392521001	481717
441900009	476081
738956005	469297
80891009	467594
302509004	466204
409073007	463445
69908008	455887
255386009	453069
20135006	439800
225334002	435899
30217000	433749
417163006	429942
702658000	422110
703725008	422110
61594008	422110
128530007	416652
39607008	407081
181216001	407020
39937001	403865
13543005	403480
181469002	401972
767111007	395879
24099007	395879
59108006	389627
129326001	389627
385218009	389393
90780006	387419
365723003	384481
37782003	382751
260753009	378817
734000001	374615
70256003	374615
360149000	361795
236973005	361795
266981003	361651
105421008	361651
303109001	361512
263547006	361512
22253000	359438
118629009	349958
52925006	347689
67079006	347309
111138002	347309
113091000	345651
312250003	345651
26036001	344852
276031006	340946
128303001	334471
129306000	334471
129304002	334471
65801008	334471
27888000	333696
768606008	333118
68498002	333118
23583003	332293
257552002	332293
70106000	328187
129406001	315255
77465005	315255
263903005	315255
716872004	309382
110465008	308674
302539009	304012
367336001	301116
363688001	301116
69320009	300010
52642002	299526
768599000	299526
168537006	295205
118292001	293728
129303008	293728
64033007	290680
181414000	290358
420699003	289238
264312008	289237
263654008	285122
386585008	282308
36203004	282086
363778006	282023
363680008	281881
738985004	278244
7120007	278196
52988006	277154
4845002	276308
46602004	276308
764883009	275255
52518006	275255
386534000	272143
364090009	272143
386536003	272143
113276009	271590
261093006	271590
65404009	271518
47563007	271518
70241007	271518
248325000	271518
260413007	268595
20481000	268357
304257007	265399
702675006	263802
767113005	262425
5540006	262425
35489007	256839
38341003	256334
257903006	256054
4365001	256054
722688002	254931
68453008	254931
278292003	248373
16310003	248373
64572001	241577
116223007	239561
131148009	237271
50960005	237271
414915002	236163
414916001	236163
419099009	231695
254837009	228567
257867005	225835
67866001	224570
39487003	224570
412222002	224570
57184004	220635
15508007	219985
405152002	218450
75823008	214376
307488001	214376
73512001	213172
709252005	212510
413935006	211803
250448002	211803
264297004	211803
80633008	206759
193659009	206759
385100002	206187
71211001	205431
770393000	205431
418393006	204630
91272006	203576
77477000	201686
